time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:57:04:327,0.0057,-0.0190,0.0422,0.047
20:57:04:333,-0.0225,0.0031,0.0180,0.029
20:57:04:336,-0.0005,0.0012,0.0177,0.018
20:57:04:341,-0.0238,0.0303,0.0103,0.040
20:57:04:347,0.0029,0.0091,0.0005,0.010
20:57:04:353,0.0008,0.0072,-0.0092,0.012
20:57:04:357,-0.0155,-0.0137,-0.0189,0.028
20:57:04:362,-0.0056,0.0034,-0.0094,0.011
20:57:04:367,0.0208,-0.0129,-0.0071,0.025
20:57:04:372,0.0232,-0.0149,-0.0142,0.031
20:57:04:375,0.0399,-0.0287,-0.0091,0.050
20:57:04:384,0.0115,-0.0259,-0.0255,0.038
20:57:04:386,0.0045,-0.0089,-0.0226,0.025
20:57:04:391,0.0261,-0.0158,-0.0174,0.035
20:57:04:397,0.0262,0.0011,-0.0240,0.036
20:57:04:401,0.0286,-0.0059,-0.0163,0.033
20:57:04:406,0.0239,-0.0152,-0.0396,0.049
20:57:04:411,0.0216,0.0041,-0.0295,0.037
20:57:04:416,0.0074,0.0255,-0.0100,0.028
20:57:04:419,0.0099,0.1014,-0.0337,0.107
20:57:04:428,0.0099,0.0865,-0.0432,0.097
20:57:04:429,0.0100,0.0766,-0.0075,0.078
20:57:04:436,0.0053,0.0715,-0.0006,0.072
20:57:04:439,0.0103,0.0380,0.0254,0.047
20:57:04:447,0.0270,0.0498,0.0061,0.057
20:57:04:451,0.0366,0.0355,0.0131,0.053
20:57:04:455,0.0176,0.0356,-0.0013,0.040
20:57:04:459,-0.0013,0.0403,0.0248,0.047
20:57:04:465,-0.0270,0.0333,0.0151,0.045
20:57:04:473,-0.0430,0.0596,0.0364,0.082
20:57:04:475,-0.0281,0.0689,0.0504,0.090
20:57:04:491,-0.0441,0.0734,0.0523,0.100
20:57:04:492,-0.0199,0.0517,0.0564,0.079
20:57:04:493,0.0183,0.0680,0.0628,0.094
20:57:04:494,-0.0080,0.0675,0.0857,0.109
20:57:04:498,0.0324,0.0575,0.0942,0.115
20:57:04:504,0.0581,0.0617,0.0955,0.128
20:57:04:508,0.0693,0.0587,0.0897,0.128
20:57:04:513,0.0591,0.0319,0.0863,0.109
20:57:04:518,0.0726,0.0100,0.0616,0.096
20:57:04:523,0.0907,0.0191,0.0466,0.104
20:57:04:528,0.0943,0.0185,0.0364,0.103
20:57:04:533,0.0978,0.0059,0.0073,0.098
20:57:04:537,0.0988,0.0077,0.0068,0.099
20:57:04:541,0.0998,-0.0191,0.0040,0.102
20:57:04:547,0.1033,-0.0385,-0.0058,0.110
20:57:04:554,0.0900,-0.0199,-0.0034,0.092
20:57:04:559,0.0960,-0.0205,0.0087,0.099
20:57:04:564,0.1019,-0.0022,-0.0218,0.104
20:57:04:566,0.0984,-0.0077,-0.0234,0.101
20:57:04:573,0.1116,0.0010,-0.0032,0.112
20:57:04:576,0.0796,0.0190,0.0171,0.084
20:57:04:583,0.0598,0.0201,0.0209,0.067
20:57:04:595,0.0545,-0.0191,0.0130,0.059
20:57:04:596,0.0160,-0.0154,0.0173,0.028
20:57:04:597,0.0253,-0.0450,0.0194,0.055
20:57:04:601,0.0252,-0.0482,0.0216,0.058
20:57:04:606,-0.0201,-0.0466,0.0072,0.051
20:57:04:611,0.0015,-0.0095,0.0096,0.014
20:57:04:616,0.0135,-0.0034,0.0097,0.017
20:57:04:620,0.0114,-0.0092,0.0218,0.026
20:57:04:629,0.0974,0.0375,0.0678,0.124
20:57:04:630,0.0690,0.0269,0.0592,0.095
20:57:04:636,-0.0377,-0.0193,-0.0827,0.093
20:57:04:640,-0.0563,-0.0250,-0.1675,0.178
20:57:04:646,-0.0230,-0.0189,-0.1791,0.182
20:57:04:650,0.0241,-0.0128,-0.1128,0.116
20:57:04:656,0.0874,-0.0068,-0.0661,0.110
20:57:04:659,0.1076,-0.0482,-0.0385,0.124
20:57:04:666,0.1065,-0.0678,-0.0179,0.127
20:57:04:677,0.0913,-0.0397,-0.0186,0.101
20:57:04:678,0.0478,-0.0497,-0.0500,0.085
20:57:04:680,0.0332,-0.0572,-0.0694,0.096
20:57:04:685,-0.0074,-0.0692,-0.1056,0.126
20:57:04:694,-0.0359,-0.0788,-0.0800,0.118
20:57:04:694,-0.0547,-0.0860,-0.0334,0.107
20:57:04:698,-0.0568,-0.0718,-0.0038,0.092
