time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:43:52:601,0.0651,-0.1178,0.0425,0.141
20:43:52:606,0.1005,-0.1082,0.0273,0.150
20:43:52:611,0.1214,-0.0748,0.0146,0.143
20:43:52:616,0.1186,-0.0700,0.0091,0.138
20:43:52:622,0.1016,-0.0510,-0.0104,0.114
20:43:52:626,0.1013,-0.0367,-0.0298,0.112
20:43:52:631,0.0893,0.0131,-0.0397,0.099
20:43:52:636,0.0893,0.0246,-0.0497,0.105
20:43:52:641,0.0536,0.0503,-0.0548,0.092
20:43:52:645,0.0658,0.0545,-0.0744,0.113
20:43:52:650,0.0232,0.0706,-0.0726,0.104
20:43:52:655,0.0260,0.0676,-0.0853,0.112
20:43:52:665,0.0146,0.0671,-0.0885,0.112
20:43:52:666,0.0318,0.0642,-0.0918,0.116
20:43:52:676,0.0322,0.0472,-0.0857,0.103
20:43:52:676,0.0349,0.0635,-0.1012,0.124
20:43:52:678,0.0376,0.0655,-0.0833,0.112
20:43:52:686,0.0523,0.0819,-0.0727,0.121
20:43:52:691,0.0503,0.0816,-0.0455,0.106
20:43:52:693,0.0603,0.1147,-0.0256,0.132
20:43:52:699,0.0348,0.1429,-0.0271,0.150
20:43:52:705,0.0096,0.1427,-0.0309,0.146
20:43:52:710,-0.0010,0.1830,-0.0227,0.184
20:43:52:713,-0.0516,0.1733,-0.0359,0.184
20:43:52:717,-0.0615,0.1544,-0.0564,0.176
20:43:52:725,-0.0807,0.1335,-0.0650,0.169
20:43:52:728,-0.0925,0.0868,-0.0689,0.144
20:43:52:735,-0.0877,0.0453,-0.0446,0.108
20:43:52:737,-0.1091,-0.0150,-0.0087,0.110
20:43:52:745,-0.1399,-0.0772,0.0034,0.160
20:43:52:748,-0.1064,-0.1462,0.0488,0.187
20:43:52:753,-0.0875,-0.1675,0.0896,0.209
20:43:52:756,-0.0569,-0.2007,0.1376,0.250
20:43:52:766,-0.0478,-0.2123,0.1384,0.258
20:43:52:767,-0.0079,-0.2003,0.1612,0.257
20:43:52:777,0.0557,-0.2000,0.1653,0.265
20:43:52:778,0.0597,-0.1616,0.1629,0.237
20:43:52:782,0.0781,-0.1471,0.1443,0.220
20:43:52:787,0.0682,-0.1465,0.1260,0.205
20:43:52:792,0.0205,-0.1720,0.1366,0.221
20:43:52:796,-0.0292,-0.1782,0.1377,0.227
20:43:52:803,-0.0546,-0.2011,0.1840,0.278
20:43:52:806,-0.0751,-0.2094,0.1802,0.286
20:43:52:811,-0.1239,-0.2130,0.1765,0.303
20:43:52:816,-0.1510,-0.2524,0.1799,0.345
20:43:52:822,-0.1496,-0.2701,0.1712,0.353
20:43:52:827,-0.1555,-0.2856,0.1838,0.374
20:43:52:832,-0.1425,-0.2892,0.1723,0.366
20:43:52:834,-0.1465,-0.3263,0.1631,0.393
20:43:52:840,-0.1364,-0.3205,0.1252,0.370
20:43:52:847,-0.0743,-0.3173,0.0993,0.341
20:43:52:851,-0.0485,-0.2716,0.0878,0.290
