time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:50:09:655,0.1600,-0.0427,-0.3140,0.355
20:50:09:659,0.1530,-0.0037,-0.2773,0.317
20:50:09:665,0.1360,0.0232,-0.2170,0.257
20:50:09:669,0.1378,0.0333,-0.1761,0.226
20:50:09:674,0.0988,0.0148,-0.1186,0.155
20:50:09:679,0.0788,-0.0509,-0.0496,0.106
20:50:09:685,0.0563,-0.0686,-0.0023,0.089
20:50:09:689,0.0195,-0.0790,0.0399,0.091
20:50:09:694,-0.0029,-0.0893,0.0463,0.101
20:50:09:698,-0.0397,-0.1256,0.0572,0.144
20:50:09:705,-0.0574,-0.1260,0.0611,0.151
20:50:09:709,-0.0586,-0.1215,0.0578,0.147
20:50:09:714,-0.0551,-0.1195,0.0617,0.145
20:50:09:718,-0.0326,-0.0890,0.1083,0.144
20:50:09:724,-0.0197,-0.0731,0.1285,0.149
20:50:09:728,-0.0353,-0.0098,0.1460,0.151
20:50:09:735,-0.0291,0.0007,0.1303,0.134
20:50:09:737,-0.0062,0.0206,0.0982,0.101
20:50:09:760,0.0002,0.0759,0.0570,0.095
20:50:09:761,0.0139,0.1069,0.0139,0.109
20:50:09:762,0.0064,0.0782,-0.0332,0.085
20:50:09:762,0.0374,0.0686,-0.0322,0.085
