time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
21:06:07:791,0.1585,-0.8095,-0.2342,0.857
21:06:07:796,0.0590,-0.8441,-0.2387,0.879
21:06:07:802,-0.0375,-0.8591,-0.2210,0.888
21:06:07:806,-0.1195,-0.8619,-0.1885,0.890
21:06:07:811,-0.1966,-0.8145,-0.1721,0.855
21:06:07:815,-0.2382,-0.7696,-0.1407,0.818
21:06:07:820,-0.2137,-0.7082,-0.1203,0.749
21:06:07:828,-0.1949,-0.6305,-0.0653,0.663
21:06:07:832,-0.1271,-0.4797,0.0551,0.499
21:06:07:835,-0.0530,-0.3563,0.1980,0.411
21:06:07:843,0.0325,-0.2315,0.3114,0.389
21:06:07:844,0.1106,-0.1386,0.3980,0.436
21:06:07:851,0.1292,-0.0846,0.4512,0.477
21:06:07:856,0.1460,-0.0930,0.4714,0.502
21:06:07:859,0.1182,-0.0800,0.4709,0.492
21:06:07:866,0.1034,-0.0840,0.4876,0.505
21:06:07:870,0.0892,-0.0762,0.4455,0.461
21:06:07:874,0.0615,-0.0923,0.4399,0.454
21:06:07:879,0.0201,-0.1297,0.4489,0.468
21:06:07:884,-0.0206,-0.2214,0.4464,0.499
21:06:07:889,-0.0893,-0.2887,0.4134,0.512
21:06:07:893,-0.0886,-0.3152,0.4213,0.534
21:06:07:897,-0.0924,-0.3177,0.4293,0.542
21:06:07:905,-0.0841,-0.3155,0.4019,0.518
21:06:07:909,-0.1090,-0.3608,0.3794,0.535
21:06:07:913,-0.0694,-0.3416,0.3830,0.518
21:06:07:919,-0.0704,-0.3202,0.3650,0.491
21:06:07:924,-0.0763,-0.3369,0.3353,0.481
21:06:07:928,-0.0892,-0.3225,0.2914,0.444
21:06:07:933,-0.1258,-0.2964,0.2905,0.434
21:06:07:938,-0.1456,-0.2728,0.3015,0.432
21:06:07:956,-0.1703,-0.2921,0.3029,0.454
21:06:07:957,-0.1524,-0.2757,0.3187,0.448
21:06:07:957,-0.1612,-0.2783,0.3134,0.449
21:06:07:959,-0.1691,-0.2854,0.2963,0.445
21:06:07:970,-0.1798,-0.2686,0.2606,0.415
21:06:07:971,-0.1864,-0.3069,0.2329,0.428
21:06:07:972,-0.2221,-0.3332,0.1625,0.432
21:06:07:975,-0.2177,-0.3738,0.0903,0.442
21:06:07:980,-0.2497,-0.3977,0.0616,0.474
21:06:07:987,-0.2536,-0.4454,0.0427,0.514
21:06:07:990,-0.2411,-0.4716,0.0122,0.530
21:06:07:996,-0.2314,-0.5288,-0.0444,0.579
21:06:08:004,-0.2748,-0.5859,-0.1008,0.655
21:06:08:008,-0.3452,-0.6190,-0.1812,0.732
